datetime,visibility,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.sunrise,sys.sunset,weather.id,weather.main,weather.description,weather.icon,extraction_date_time,city_name,sys.type,sys.id,rain.1h,date,time,hour
2023-11-14 23:57:43+08:00,10000.0,124.0272,10.5208,28.03,32.98,28.03,28.03,1012.0,85.0,1012.0,1012.0,3.89,52.0,5.14,97.0,2023-11-15 05:39:00+08:00,2023-11-15 17:17:56+08:00,500.0,Rain,light rain,10n,2023-11-15 00:01:53.548207+08:00,Danao,1.0,8187.0,0.71,2023-11-14,23:57:43,23
2023-11-15 00:00:33+08:00,10000.0,121.05,13.75,26.73,29.98,26.73,26.73,1014.0,90.0,1014.0,1013.0,3.69,80.0,6.01,99.0,2023-11-15 05:55:21+08:00,2023-11-15 17:25:24+08:00,500.0,Rain,light rain,10n,2023-11-15 00:00:33.979432+08:00,Batangas City,2.0,2011004.0,0.23,2023-11-15,00:00:33,0
2023-11-15 00:00:37+08:00,10000.0,121.1653,14.2117,27.44,31.75,26.66,27.73,1014.0,88.0,1014.0,1012.0,6.18,74.0,12.01,95.0,2023-11-15 05:55:32+08:00,2023-11-15 17:24:18+08:00,500.0,Rain,light rain,10n,2023-11-15 00:01:10.813343+08:00,Calamba,2.0,2084056.0,0.82,2023-11-15,00:00:37,0
2023-11-15 00:01:12+08:00,3565.0,121.1803,13.4117,26.73,29.64,26.73,26.73,1014.0,86.0,1014.0,1013.0,7.07,100.0,10.81,93.0,2023-11-15 05:54:21+08:00,2023-11-15 17:25:21+08:00,500.0,Rain,light rain,10n,2023-11-15 00:01:12.284319+08:00,Calapan,2.0,2011004.0,1.0,2023-11-15,00:01:12,0
2023-11-15 00:01:57+08:00,10000.0,120.9367,14.3294,26.69,29.54,26.22,27.29,1014.0,86.0,1014.0,1004.0,5.36,68.0,10.65,92.0,2023-11-15 05:56:37+08:00,2023-11-15 17:25:03+08:00,500.0,Rain,light rain,10n,2023-11-15 00:01:57.300178+08:00,Dasmariñas,2.0,2084056.0,0.1,2023-11-15,00:01:57,0
2023-11-15 00:05:07+08:00,10000.0,123.6333,10.3833,28.05,33.04,28.05,28.05,1012.0,85.0,1012.0,1012.0,2.94,47.0,4.2,96.0,2023-11-15 05:40:23+08:00,2023-11-15 17:19:42+08:00,500.0,Rain,light rain,10n,2023-11-15 00:05:07.224739+08:00,Toledo City,1.0,8187.0,0.38,2023-11-15,00:05:07,0
2023-11-15 06:00:36+08:00,10000.0,120.8817,14.3869,25.82,26.83,25.52,26.12,1013.0,91.0,1013.0,1011.0,9.61,43.0,11.11,95.0,2023-11-15 05:56:55+08:00,2023-11-15 17:25:11+08:00,500.0,Rain,light rain,10d,2023-11-15 06:02:39.047254+08:00,General Trias,2.0,2084056.0,0.25,2023-11-15,06:00:36,6
2023-11-15 06:05:00+08:00,10000.0,121.1498,14.0863,25.06,26.08,24.66,26.08,1014.0,94.0,1014.0,996.0,4.1,61.0,10.03,100.0,2023-11-15 05:55:25+08:00,2023-11-15 17:24:32+08:00,500.0,Rain,light rain,10d,2023-11-15 06:05:01.003670+08:00,Tanauan,2.0,2084056.0,0.53,2023-11-15,06:05:00,6
2023-11-15 12:00:42+08:00,10000.0,121.05,13.75,25.62,26.38,25.62,25.62,1013.0,82.0,1013.0,1012.0,6.04,79.0,10.1,99.0,2023-11-15 05:55:21+08:00,2023-11-15 17:25:24+08:00,500.0,Rain,light rain,10d,2023-11-15 12:00:42.657044+08:00,Batangas City,2.0,2011004.0,0.15,2023-11-15,12:00:42,12
2023-11-15 12:01:17+08:00,10000.0,121.1262,14.2726,27.33,31.95,26.62,29.96,1014.0,92.0,1014.0,1012.0,6.98,72.0,12.72,99.0,2023-11-15 05:55:46+08:00,2023-11-15 17:24:22+08:00,500.0,Rain,light rain,10d,2023-11-15 12:01:18.102835+08:00,Cabuyao,2.0,2084056.0,0.18,2023-11-15,12:01:17,12
2023-11-15 12:01:27+08:00,10000.0,121.1653,14.2117,26.79,29.87,26.62,29.97,1014.0,87.0,1014.0,1012.0,6.17,70.0,11.8,99.0,2023-11-15 05:55:32+08:00,2023-11-15 17:24:18+08:00,500.0,Rain,light rain,10d,2023-11-15 12:01:27.323629+08:00,Calamba,2.0,2084056.0,0.68,2023-11-15,12:01:27,12
2023-11-15 12:03:08+08:00,10000.0,121.1667,13.95,23.59,24.41,23.59,23.59,1014.0,92.0,1014.0,977.0,2.85,54.0,7.66,100.0,2023-11-15 05:55:10+08:00,2023-11-15 17:24:40+08:00,501.0,Rain,moderate rain,10d,2023-11-15 12:03:08.472492+08:00,Lipa City,2.0,2011004.0,2.46,2023-11-15,12:03:08,12
2023-11-15 12:04:50+08:00,10000.0,121.1498,14.0863,25.89,26.88,25.74,27.08,1014.0,90.0,1014.0,996.0,3.76,61.0,9.05,100.0,2023-11-15 05:55:25+08:00,2023-11-15 17:24:32+08:00,500.0,Rain,light rain,10d,2023-11-15 12:04:51.179692+08:00,Tanauan,2.0,2084056.0,0.86,2023-11-15,12:04:50,12
2023-11-15 12:05:01+08:00,6805.0,121.5911,14.0289,24.39,25.39,24.39,24.39,1014.0,96.0,1014.0,991.0,4.59,53.0,10.37,100.0,2023-11-15 05:53:34+08:00,2023-11-15 17:22:51+08:00,501.0,Rain,moderate rain,10d,2023-11-15 12:05:01.836858+08:00,Tayabas,2.0,2011004.0,1.78,2023-11-15,12:05:01,12
2023-11-15 18:00:40+08:00,10000.0,120.8817,14.3869,26.06,26.06,25.52,26.68,1014.0,94.0,1014.0,1011.0,8.55,62.0,13.1,95.0,2023-11-15 05:56:55+08:00,2023-11-15 17:25:11+08:00,500.0,Rain,light rain,10n,2023-11-15 18:02:21.227886+08:00,General Trias,2.0,2084056.0,0.4,2023-11-15,18:00:40,18
2023-11-15 18:00:44+08:00,10000.0,121.05,13.75,25.62,26.56,25.62,25.62,1014.0,89.0,1014.0,1013.0,5.58,89.0,9.3,99.0,2023-11-15 05:55:21+08:00,2023-11-15 17:25:24+08:00,501.0,Rain,moderate rain,10n,2023-11-15 18:00:44.721570+08:00,Batangas City,2.0,2011004.0,2.73,2023-11-15,18:00:44,18
2023-11-15 18:01:08+08:00,10000.0,121.1262,14.2726,26.14,26.14,25.55,26.7,1014.0,92.0,1014.0,1012.0,6.73,76.0,12.42,97.0,2023-11-15 05:55:46+08:00,2023-11-15 17:24:22+08:00,500.0,Rain,light rain,10n,2023-11-15 18:01:08.484035+08:00,Cabuyao,2.0,2084056.0,0.47,2023-11-15,18:01:08,18
